id,sender,subject,snippet,category,disposition
19d4d0c00212ea8d,Avi Levi <Avi.Levi@synopsys.com>,Automatic reply: Reminder to fill MyTime,Hi I am out for the Holidays. Returning on Sunday April 5th. For urgent matters you can text or call me. Avi,work,keep
19d4d0bc72a31626,avi.levi99@gmail.com,Reminder to fill MyTime,"Hi, This is a reminder to fill MyTime",notifications,remove
19d4c5b91ec4a819,"""Anthropic, PBC"" <invoice+statements@mail.anthropic.com>","Your receipt from Anthropic, PBC #2949-1216-9210","Your receipt from Anthropic, PBC #2949-1216-9210 ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏",receipts,keep
19d4a6574d00b3f0,,,,misc,keep
19d498e2fda4fe78,Finance via IFTTT <action@ifttt.com>,1 USD equals 3.1375 ILS,"As of April 1, 2026 at 05:59PM, 1 USD equals 3.1375 ILS. via https://ift.tt/nYXoAJO Manage Unsubscribe from these notifications or sign in to manage your Email service. IFTTT IFTTT Pro: Seriously",finance,keep
19d4662e6932711c,Fitbit <noreply@fitbit.com>,Your weekly progress report from Fitbit!,"Google Fitbit WEEKLY STATS Hi, Avi L.! Here are your stats for Mar.​ 23 - Mar.​ 29 Stay Healthy Explore your full library of Premium resources for sleep, activity, mindfulness, and nutrition. Explore",notifications,remove
19d4352872a93af0,Marina Levi <marina@nova-fertility.com>,"Invitation: גל - ד""ר דינבר @ Sun 17 May 2026 15:30 - 16:30 (GMT+3) (avi.levi99@gmail.com)",גל - ד&quot;ר דינבר‎ Join with Google Meet – You have been invited by Marina Levi to attend an event named גל - ד&quot;ר דינבר on Sunday 17 May 2026 ⋅ 15:30 – 16:30 (Israel Time). Join with Google Mee,personal,keep
19d3f89727615b9d,Google <no-reply@accounts.google.com>,Security alert,"A new sign-in on Android avi.levi99@gmail.com We noticed a new sign-in to your Google Account on a Android device. If this was you, you don&#39;t need to do anything. If not, we&#39;ll help you secure",notifications,remove
19d3ebf209d6af97,noreply-analytics@google.com,Google Analytics account scheduled for deletion,Google Analytics account Marina Levi was moved to the rubbish bin The Google Analytics account Marina Levi (37156234) was moved to the rubbish bin by marina77@gmail.com. It will be permanently deleted,notifications,remove
19d3e0dc3b764d30,OneCal <noreply@onecal.io>,OneCal's Waiting - Connect Your Calendars and Simplify Your Schedule,OneCal&#39;s Waiting - Connect Your Calendars and Simplify Your Schedule‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ,newsletters,remove
19d0c3029db6f7e1,Claude Team <no-reply@email.claude.com>,"New: Claude Code channels, scheduled tasks, and more","Get even more out of Claude Code with these updates. Here&#39;s what&#39;s new We&#39;ve shipped several updates to Claude Code designed to get the busywork off your plate, so you can focus on the wor",notifications,remove
19d0741549555f17,GitHub <noreply@github.com>,[GitHub] A new SSH authentication public key was added to your account,"The following SSH key was added to your account: Avi Raspberry Pi 5 (Ubuntu) SHA256:9cO9Xnf0nISoZXdh8DCSi1tG0qsoJ74k1kQqIWt5wHU If you believe this key was added in error, you can remove the key and",notifications,remove
19d009dbecd6e5e5,"""דורית"" <reply-to+f839f6030ffd@wixforms.com>",[yaccovlevi] Contact - new submission,דורית just submitted your form: Contact on yaccovlevi Message Details: שם: דורית אימייל: dorir.law1@gmail.com טלפון: 0506274206 הודעה: תיקון תנור Reply to this email directly or via your site&#39;s,misc,keep
19cd492945a636a4,Cursor Team <team@mail.cursor.com>,[No action required] We're auto-upgrading to Composer 1.5,"Composer 1 will be retired on March 16, 2026 ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏",notifications,remove
19cb937dcdb841ca,Fireberry Support <support@fireberry.com>,אמתו את המכשיר שלכם ב-Fireberry,"שלום, לאחרונה נכנסתם ל-Fireberry מדפדפן או אפליקציה שאיננו מזהים. דפדפן: {[!browser]} מערכת הפעלה: {[!os]} שם משתמש: marina77@gmail.com מיקום: Frankfurt am Main DE כדי להבטיח את אבטחת חשבונכם, עלינו",notifications,remove
19cb883ff3945c06,Nintendo <no-reply@accounts.nintendo.com>,Nintendo Receipt: Funds Added to Your Account,Thank you for adding funds to your Nintendo Account. These funds can now be used to purchase digital games and content from Nintendo. Details of this transaction are below: Transaction ID: 52314516307,receipts,keep
19c87dac0222c2ac,Microsoft365 <Microsoft365@notificationemails.microsoft.com>,Your OneDrive files and photos are at risk,Act now to not lose access ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏,notifications,remove
19c777de6cf8b359,Circular <contact@circular.xyz>,[New] Every color is now USD $349,Limited-time offer is on ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,newsletters,remove
19c76ef4091115c3,GoDaddy <donotreply@godaddy.com>,Security Alert: Your one-time sign in code is 504157.,"Someone signed in to your account from a new location or device. To verify this was you, please sign in using this code. ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌",notifications,remove
19c766e047290d14,Cloudflare <noreply@notify.cloudflare.com>,novalife.co.il is now active on Cloudflare (Free plan),"novalife.co.il is now faster and more secure, thanks to Cloudflare&#39;s network. Here are tips on how to improve performance even more. Cloudflare logo Cloudflare&#39;s network is now boosting",notifications,remove
19c75f2b45e42a55,Cloudflare <em@em1.cloudflare.com>,Free Plan purchased for novalife.co.il,Start by enabling a few features designed to protect and optimize the performance of your website. Start by enabling a few features designed to protect and optimize the performance of your website.,notifications,remove
19c71db527e89341,Airbnb <discover@airbnb.com>,We’re updating our Terms and Privacy Policy,"These updates will go into effect on April 20, 2026 ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ",newsletters,remove
19c19b9eea68836a,no_reply@polar.com,Closing your Polar account,‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ Polar HELLO We&#39;re writing to give you a heads-up that your Polar account avi.levi99@gmail.com is about to be closed. This is because we&#39;re missing one or more of the,notifications,remove
19be7a73ef4354ee,Partner <Thankyou@partner.net.il>,"היי אבי לוי, החשבונית החודשית שלך לחודש דצמבר 2025","החשבונית החודשית שלך הגיעה Fb Tw Inst Yt In האזור האישי שלי כתובת צרו קשר לתשומת לב, הודעת דואר אלקטרוני זו נשלחה מכתובת למשלוח הודעות בלבד שאין באפשרותה לקבל הודעות נכנסות. נא לא לענות להודעה זו.",receipts,keep
19bd80f29e13a1ca,Facebook memories <memories@facebookmail.com>,You have memories with Hili Levi and Marina Levi to look back on today.,"See memories to look back on today. On this day13 years ago Hi Avi, You have memories to look back on today. 2 memories with Hili Levi and Marina Levi13 years ago See memories Was this email:Useful |",notifications,remove
19bd1c84fe6c1b05,"""עיריית רמת גן"" <DoNotReply@onecity.org.il>",שובר תשלום ארנונה - עיריית רמת גן לנכס מספר 340008028000,"שלום מנקוביץ דליה, מצורף להודעה זו שובר תשלום הארנונה השנתית לשנת 2026 ושובר הארנונה התקופתי לחודשים ינואר - פברואר 2026 לצפיה בשובר התקופתי הנגיש ולתשלום השובר בצורה נגישה: לצפיה בשובר התקופתי הנגיש",finance,keep
